Nrate,Variety,MAT,MAP,SOC,TN,Irrigation,Deep,Dressing,Manure,Tillage,Straw,EFFs,Cultivation,wheat_type,Yield,N_surplus
240,2,14.53 ,604.40 ,11.14 ,0.75 ,2,1,2,0,1,2,1,1,2,9.80 ,-3.34 
180,2,14.53 ,604.40 ,11.14 ,0.75 ,2,1,2,0,1,2,1,1,2,8.84 ,-36.09 
120,2,14.53 ,604.40 ,11.14 ,0.75 ,2,1,2,0,1,2,1,1,2,8.57 ,-88.19 
240,2,14.53 ,604.40 ,11.61 ,0.77 ,2,1,2,0,1,2,1,1,2,7.03 ,75.79 
180,2,14.53 ,604.40 ,11.61 ,0.77 ,2,1,2,0,1,2,1,1,2,6.28 ,37.14 
120,2,14.53 ,604.40 ,11.61 ,0.77 ,2,1,2,0,1,2,1,1,2,5.89 ,-11.73 
90,2,15.34 ,909.80 ,8.60 ,1.30 ,2,1,2,0,1,2,1,1,2,3.38 ,39.85 
180,2,15.34 ,909.80 ,8.60 ,1.30 ,2,1,2,0,1,2,1,1,2,3.85 ,117.30 
90,2,16.19 ,926.10 ,16.69 ,2.10 ,2,1,2,0,1,2,1,1,2,4.43 ,11.42 
180,2,16.19 ,926.10 ,16.69 ,2.10 ,2,1,2,0,1,2,1,1,2,5.18 ,81.23 
90,2,15.34 ,909.80 ,8.60 ,1.30 ,2,1,2,0,1,2,1,2,2,4.53 ,8.74 
180,2,15.34 ,909.80 ,8.60 ,1.30 ,2,1,2,0,1,2,1,2,2,4.61 ,96.51 
90,2,16.19 ,926.10 ,16.69 ,2.10 ,2,1,2,0,1,2,1,2,2,5.55 ,-18.77 
180,2,16.19 ,926.10 ,16.69 ,2.10 ,2,1,2,0,1,2,1,2,2,5.60 ,69.85 
150,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,6.28 ,5.00 
225,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,6.80 ,65.12 
300,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,7.54 ,118.87 
150,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,6.39 ,1.97 
225,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,7.68 ,40.13 
300,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,8.06 ,104.22 
150,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,7.58 ,-32.24 
225,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,7.52 ,44.61 
300,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,2,2,7.13 ,130.61 
150,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,4.77 ,48.21 
225,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,5.39 ,105.63 
300,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,5.80 ,168.71 
150,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,6.76 ,-8.63 
225,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,6.99 ,59.82 
300,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,7.66 ,115.58 
150,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,6.08 ,10.69 
225,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,6.84 ,64.04 
300,2,15.21 ,855.20 ,7.49 ,0.93 ,2,1,2,0,1,2,1,1,2,7.29 ,126.29 
150,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,6.46 ,-0.04 
225,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,7.22 ,53.26 
300,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,8.09 ,103.17 
150,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,7.78 ,-37.98 
225,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,8.05 ,29.29 
300,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,9.04 ,76.16 
150,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,8.14 ,-48.08 
225,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,8.55 ,15.07 
300,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,2,2,8.81 ,82.76 
150,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,1,2,5.62 ,24.05 
225,2,15.21 ,855.20 ,10.21 ,1.07 ,2,1,2,0,1,2,1,1,2,6.81 ,64.92 
